[ 2019-02-21T01:59:47+08:00 ] 127.0.0.1 /
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000016s ]
INFO: [ app_init ] --END-- [ RunTime:0.002219s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.001721s ]
INFO: Run Behavior\CheckLangBehavior [ RunTime:0.001370s ]
INFO: [ app_begin ] --END-- [ RunTime:0.003157s ]
NOTIC: [8] Undefined index: userinfo C:\Users\lwg\Desktop\1\web\app\Home\Controller\CommonController.class.php 第 13 行.
NOTIC: [2] Creating default object from empty value C:\Users\lwg\Desktop\1\web\app\Common\Common\function.php 第 502 行.
NOTIC: [8] Undefined variable: apiurl C:\Users\lwg\Desktop\1\web\app\Common\Lib\api.class.php 第 47 行.
NOTIC: [8] Undefined variable: apiurl C:\Users\lwg\Desktop\1\web\app\Common\Lib\api.class.php 第 48 行.
NOTIC: [8] Undefined index: userinfo C:\Users\lwg\Desktop\1\web\Core\Library\Think\Controller.class.php 第 43 行.
NOTIC: [8] Undefined index: userinfo C:\Users\lwg\Desktop\1\web\Core\Library\Think\Controller.class.php 第 44 行.
NOTIC: [8] Undefined index: min_wxzhixfs C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzhixfs C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzhixds C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzhixds C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzxyel C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzxyel C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzxls C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzxls C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzxsl C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzxsl C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzxel C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzxel C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzxyl C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzxyl C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_wxzxw C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_wxzxw C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_sixzhixfsh C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_sixzhixfsh C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_sixzhixdsh C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_sixzhixdsh C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_hsizxes C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_hsizxes C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_hsizxye C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_hsizxye C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_hsizxl C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_hsizxl C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
NOTIC: [8] Undefined index: min_hsizxs C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 61 行.
NOTIC: [8] Undefined index: max_hsizxs C:\Users\lwg\Desktop\1\web\app\Api\Controller\LotteryController.class.php 第 62 行.
